"ID","Status","Comment","Assertion"
"tm-compose-instanceName","not-impl","",
"tm-compose-submodel","not-impl","",
"tm-context-requirement","pass","",
"tm-extend","not-impl","",
"tm-identification","pass","",
"tm-placeholder","not-impl","",
"tm-placeholder-retyping","pass","result of a merge",
"tm-placeholder-usecase","pass","",
"tm-placeholder-value","pass","",
"tm-protocol-security-restriction","pass","",
"tm-td-generation-inconsistencies","pass","",
"tm-tmOptional","not-impl","data must have required property 'tm:optional'",
"tm-tmOptional-JSONPointer","not-impl","data must have required property 'tm:optional'",
"tm-tmOptional-array","not-impl","data must have required property 'tm:optional'",
"tm-tmOptional-resolver","not-impl","no use of tm:optional",
"tm-tmRef-usecase","pass","",
"tm-tmRef1","pass","",
"tm-versioning-2","pass","",
"bindings-requirements-scheme","null","",
"bindings-server-accept","null","",
"client-data-schema","null","",
"client-data-schema-accept-extras","null","",
"client-data-schema-no-extras","null","",
"client-uri-template","null","",
"sec-body-name-json-pointer-creatable","null","",
"server-data-schema","null","",
"server-data-schema-extras","null","",
"server-uri-template","null","",
"td-context-default-language-direction-independence","null","",
"td-default-alg","null","",
"td-default-contentType","null","",
"td-default-format","null","",
"td-default-http-method","null","a child is not tested",
"td-default-http-method_get","null","",
"td-default-http-method_post","null","",
"td-default-http-method_put","null","",
"td-default-idempotent","null","",
"td-default-in-apikey","null","",
"td-default-in-basic","null","",
"td-default-in-bearer","null","",
"td-default-in-digest","null","",
"td-default-op-actions","null","",
"td-default-op-events","null","",
"td-default-op-properties","null","",
"td-default-qop","null","",
"td-default-readOnly","null","",
"td-default-safe","null","",
"td-default-success","null","",
"td-default-writeOnly","null","",
"td-expectedResponse-contentType","null","",
"td-expectedResponse-default-contentType","null","",
"td-form-protocolbindings","null","",
"td-format-validation-other-values","null","",
"td-json-open","null","a child is not tested",
"td-json-open_accept-byte-order","null","",
"td-json-open_no-byte-order","null","",
"td-ns-multilanguage-content-negotiation","null","",
"td-ns-multilanguage-content-negotiation-no-multi","null","",
"td-ns-multilanguage-content-negotiation-optional","null","",
"td-processor-serialization","null","",
"td-security-binding","null","",
"td-security-in-query-over-uri","null","",
"td-security-no-extras","null","",
"td-security-no-secrets","null","",
"td-vocabulary-defaults","null","",
"well-known-operation-types-only","null","",
"privacy-auth-users-only","null","",
"privacy-centralized-ids","null","",
"privacy-distributed-ids","null","",
"privacy-essential-metadata-only","null","",
"privacy-id-metadata","null","",
"privacy-mutable-identifiers","null","",
"privacy-td-pii","null","",
"privacy-temp-id-metadata","null","",
"sec-body-name-json-pointer","null","",
"sec-body-name-json-pointer-array","null","",
"sec-body-name-json-pointer-type","null","",
"sec-inj-no-intl-markup","null","",
"sec-inj-sanitize","null","",
"sec-vuln-auto","null","",
"security-context-secure-fetch","null","",
"security-jsonld-expansion","null","",
"security-mutual-auth-td","null","",
"security-no-execution","null","",
"security-oauth-limits","null","",
"security-remote-context","null","",
"security-server-auth-td","null","",
"security-static-context","null","",
"security-update-contexts","null","",
"td-arrays_scopes","null","",
"td-arrays_security","null","",
"td-context-ns-td10-namespace","null","",
"td-context-ns-td10-namespacev10","null","",
"td-data-schema-objects-arrays","null","",
"td-default-AdditionalResponseContentType","null","",
"td-default-observable","null","",
"td-objects_schemaDefinitions","null","",
"td-objects_uriVariables","null","",
"td-security-combo-deprecation","null","",
"td-security-extension","null","",
"td-security-in-uri-variable","null","",
"td-security-uri-variables-distinct","null","",
"td-text-at-direction","null","",
"td-text-direction-first-strong","null","",
"td-text-direction-language-tag","null","",
"td-vocab-hreflang--Link","null","",
"td-vocab-uriVariables--Thing","null","",
"thing-model-td-generation-processor-extends","pass","",
"thing-model-td-generation-processor-forms","pass","",
"thing-model-td-generation-processor-imports","pass","",
"thing-model-td-generation-processor-placeholder","pass","",
"thing-model-td-generation-processor-required","pass","",
"thing-model-td-generation-processor-type","pass","",
"tm-compose-name-collision","not-impl","",
"tm-overwrite-interaction","null","",
"tm-overwrite-types","not-impl","",
"tm-placeholder-replacement","pass","",
"tm-ref-recursive-extensions","pass","",
"tm-tmRef-overwrite-possibility","pass","",
"tm-tmRef-overwrite-process","pass","",
"tm-tmRef-overwrite-semantic-meaning","not-impl","",
"tm-tmRef2","pass","",
"tm-tmRequired-resolver","pass","",
"tm-versioning","null","",
"td-arrays","null","a child is not tested",
"td-objects","null","a child is not tested",
