"ID","Status","Comment","Assertion"
"privacy-distributed-ids","pass","",
"privacy-id-metadata","pass","",
"sec-body-name-json-pointer","not-impl","",
"sec-body-name-json-pointer-array","not-impl","",
"sec-security-vocab-auto-in-no-name","not-impl","",
"sec-vuln-auto","not-impl","",
"td-action-arrays","pass","",
"td-action-names","not-impl","a child is not implemented",
"td-action-names_at-type","not-impl","",
"td-action-names_description","pass","",
"td-action-names_descriptions","pass","",
"td-action-names_forms","pass","",
"td-action-names_idempotent","pass","",
"td-action-names_input","pass","",
"td-action-names_output","pass","",
"td-action-names_safe","pass","",
"td-action-names_title","pass","",
"td-action-names_titles","pass","",
"td-action-names_uriVariables","pass","",
"td-action-objects","pass","all children passed",
"td-action-objects_input","pass","",
"td-action-objects_output","pass","",
"td-actions","pass","all children passed",
"td-actions_existence","pass","",
"td-actions_uniqueness","pass","",
"td-additionalExpectedResponse-contentType","not-impl","",
"td-additionalExpectedResponse-schema","not-impl","",
"td-array-type","pass","",
"td-arrays","pass","all children passed",
"td-arrays_forms","pass","result of a merge",
"td-arrays_links","pass","",
"td-boolean-type","pass","result of a merge",
"td-class-type","pass","",
"td-context","pass","",
"td-context-default-language","pass","",
"td-context-ns-td10-namespace","pass","",
"td-context-ns-thing-mandatory","pass","",
"td-context-ns-thing-map-of-namespaces","pass","",
"td-context-ns-thing-optional","pass","",
"td-context-toplevel","pass","",
"td-data-schema","not-impl","a child is not implemented",
"td-data-schema-arrays","pass","all children passed",
"td-data-schema-arrays_enum","pass","",
"td-data-schema-arrays_oneOf","pass","",
"td-data-schema-arrays_required","pass","",
"td-data-schema-objects","pass","",
"td-data-schema-objects-arrays","pass","result of a merge",
"td-data-schema_at-type","not-impl","",
"td-data-schema_const","pass","",
"td-data-schema_contentEncoding","pass","",
"td-data-schema_contentMediaType","pass","",
"td-data-schema_description","pass","",
"td-data-schema_descriptions","pass","",
"td-data-schema_enum","pass","",
"td-data-schema_exclusiveMaximum-IntegerSchema","pass","",
"td-data-schema_exclusiveMaximum-NumberSchema","pass","",
"td-data-schema_exclusiveMinimum-IntegerSchema","pass","",
"td-data-schema_exclusiveMinimum-NumberSchema","pass","",
"td-data-schema_format","pass","",
"td-data-schema_items","pass","",
"td-data-schema_maxItems","pass","",
"td-data-schema_maxLength","pass","",
"td-data-schema_maximum-IntegerSchema","pass","",
"td-data-schema_maximum-NumberSchema","pass","",
"td-data-schema_minItems","pass","",
"td-data-schema_minLength","pass","",
"td-data-schema_minimum-IntegerSchema","pass","",
"td-data-schema_minimum-NumberSchema","pass","",
"td-data-schema_multipleOf-IntegerSchema","pass","",
"td-data-schema_multipleOf-NumberSchema","pass","",
"td-data-schema_oneOf","pass","",
"td-data-schema_pattern","pass","",
"td-data-schema_properties","pass","",
"td-data-schema_readOnly","pass","",
"td-data-schema_required","pass","",
"td-data-schema_title","pass","",
"td-data-schema_titles","pass","",
"td-data-schema_type","pass","result of a merge",
"td-data-schema_unit","pass","",
"td-data-schema_writeOnly","pass","",
"td-datetime-recommended-type","pass","result of a merge",
"td-datetime-type","pass","result of a merge",
"td-event-arrays","pass","",
"td-event-names","not-impl","a child is not implemented",
"td-event-names_at-type","not-impl","",
"td-event-names_cancellation","not-impl","",
"td-event-names_data","pass","",
"td-event-names_dataResponse","pass","",
"td-event-names_description","pass","",
"td-event-names_descriptions","pass","",
"td-event-names_forms","pass","",
"td-event-names_subscription","not-impl","",
"td-event-names_title","pass","",
"td-event-names_titles","pass","",
